Town,monthly_income,median_income
ANG MO KIO,"$3,000 - $3,999",3000 
BEDOK,"$3,000 - $3,999",3000 
BISHAN,"$5,000 - $5,999",5000 
BUKIT BATOK,"$4,000 - $4,999",4000 
BUKIT MERAH,"$3,000 - $3,999",3000 
BUKIT PANJANG,"$3,000 - $3,999",3000 
BUKIT TIMAH,"$8,000 - $8,999",8000 
CHOA CHU KANG,"$3,000 - $3,999",3000 
CLEMENTI,"$4,000 - $4,999",4000 
GEYLANG,"$3,000 - $3,999",3000 
HOUGANG,"$3,000 - $3,999",3000 
JURONG EAST,"$3,000 - $3,999",3000 
JURONG WEST,"$3,000 - $3,999",3000 
KALLANG/WHAMPOA,"$3,000 - $3,999",3000 
MARINE PARADE,"$5,000 - $5,999",5000 
CENTRAL AREA,"$5,000 - $5,999",5000 
PASIR RIS,"$4,000 - $4,999",4000 
PUNGGOL,"$5,000 - $5,999",5000 
QUEENSTOWN,"$4,000 - $4,999",4000 
SEMBAWANG,"$4,000 - $4,999",4000 
SENGKANG,"$4,000 - $4,999",4000 
SERANGOON,"$4,000 - $4,999",4000 
TAMPINES,"$3,000 - $3,999",3000 
TOA PAYOH,"$3,000 - $3,999",3000 
WOODLANDS,"$3,000 - $3,999",3000 
YISHUN,"$3,000 - $3,999",3000 
